"Step","DDPG-DDPG_4_2_reward(close) - Mean Episode Reward (Last 200 episodes)","DDPG-DDPG_4_2_reward(close) - Mean Episode Reward (Last 200 episodes)__MIN","DDPG-DDPG_4_2_reward(close) - Mean Episode Reward (Last 200 episodes)__MAX"
"1262","67.21962933249512","67.21962933249512","67.21962933249512"
"1265","67.99118011302085","67.99118011302085","67.99118011302085"
"1268","68.77522606036904","68.77522606036904","68.77522606036904"
"1271","68.76979820909851","68.76979820909851","68.76979820909851"
"1274","70.20562795062553","70.20562795062553","70.20562795062553"
"1277","70.43303153756848","70.43303153756848","70.43303153756848"
"1280","70.6229885140362","70.6229885140362","70.6229885140362"
"1283","71.47383210990355","71.47383210990355","71.47383210990355"
"1286","71.43373001363328","71.43373001363328","71.43373001363328"
"1289","72.0933978344618","72.0933978344618","72.0933978344618"
"1292","72.26450423093674","72.26450423093674","72.26450423093674"
"1295","72.51668248707848","72.51668248707848","72.51668248707848"
"1298","71.22970775617918","71.22970775617918","71.22970775617918"
"1301","70.17671772504771","70.17671772504771","70.17671772504771"
"1304","69.04878881292963","69.04878881292963","69.04878881292963"
"1307","68.76853761291542","68.76853761291542","68.76853761291542"
"1310","67.96806447349111","67.96806447349111","67.96806447349111"
"1313","68.87019827409753","68.87019827409753","68.87019827409753"
"1316","71.12832321998218","71.12832321998218","71.12832321998218"
"1319","70.29085399072946","70.29085399072946","70.29085399072946"
"1322","69.67118911087994","69.67118911087994","69.67118911087994"
"1325","70.10614527441375","70.10614527441375","70.10614527441375"
"1328","71.18338441099431","71.18338441099431","71.18338441099431"
"1331","71.91002068715012","71.91002068715012","71.91002068715012"
"1334","70.08038972246072","70.08038972246072","70.08038972246072"
"1337","69.16604268067861","69.16604268067861","69.16604268067861"
"1340","68.19322147108979","68.19322147108979","68.19322147108979"
"1343","66.4253286963363","66.4253286963363","66.4253286963363"
"1346","65.48264027396118","65.48264027396118","65.48264027396118"
"1349","65.37710874290256","65.37710874290256","65.37710874290256"
"1352","64.17144737048305","64.17144737048305","64.17144737048305"
"1355","65.89363105469447","65.89363105469447","65.89363105469447"
"1358","65.04010924567461","65.04010924567461","65.04010924567461"
